event_date,trade_date,ticker,event_type,event_name,ret_1d_%,xqqq_1d_%,xsmh_1d_%,ret_5d_%,xqqq_5d_%,xsmh_5d_%,ret_20d_%,xqqq_20d_%,xsmh_20d_%,ret_60d_%,xqqq_60d_%,xsmh_60d_%
2026-02-13,2026-02-13,CAMT,order,$25M Hawk order from tier-1 IDM for HBM/chiplet/hybrid bonding AI applications,1.04,0.93,0.7,-1.46,-1.59,-3.13,-1.98,-1.93,1.03,12.39,-5.51,-25.81
2026-03-30,2026-03-30,CAMT,order,$31M multi-system advanced packaging order from leading OSAT,-1.12,-3.72,-3.57,3.84,-0.78,-3.01,17.73,0.85,-13.52,9.16,-18.39,-44.84
2026-05-12,2026-05-12,CAMT,earnings,Q1 2026 results; H2 revenue expected >25% above H1,-18.6,-18.8,-17.93,-27.07,-25.42,-21.45,-19.32,-19.92,-19.33,-19.32,-19.92,-19.33
2026-03-16,2026-03-16,ONTO,product_order,Dragonfly G5 selected by leading HBM manufacturer; double-digit orders,3.74,2.12,1.27,10.69,11.53,9.65,38.02,32.01,21.32,38.37,17.36,-10.42
2026-05-05,2026-05-05,ONTO,earnings,Q1 2026 results; Q2 revenue guide $320M-$330M,-1.84,-5.24,-10.31,-7.21,-12.32,-17.96,-12.45,-19.09,-26.17,-12.45,-19.09,-26.17
2026-04-29,2026-04-29,FORM,earnings,Q1 2026 record revenue; DRAM/HBM probe card demand,1.3,-0.25,-1.85,11.13,5.32,-0.79,-3.87,-12.99,-21.19,-3.87,-12.99,-21.19
2026-03-16,2026-03-16,MXL,product,Annapurna 224G scale-up retimer for AI data centers,-0.47,-2.09,-2.94,1.48,2.32,0.44,27.65,21.64,10.95,487.09,466.09,438.3
2026-04-23,2026-04-23,MXL,earnings,Q1 2026 results; optical data center revenue outlook raised to $150M-$170M,77.99,76.65,71.78,108.76,106.84,102.5,194.1,185.03,175.0,192.59,183.06,171.73
2026-05-05,2026-05-05,MXL,product,Washington 200G TIA for next-gen AI data center connectivity,3.98,0.58,-4.5,17.68,12.57,6.93,26.93,20.3,13.21,26.93,20.3,13.21
2025-09-29,2025-09-29,SMTC,product,FiberEdge 200G VCSEL driver and TIA for 1.6T AI infrastructure,13.47,12.73,12.06,8.26,6.29,1.56,12.21,6.82,0.37,20.55,16.03,7.35
2025-09-07,2025-09-08,SMTC,product,High-performance TIAs for 1.6T AI data centers,1.5,0.73,-0.04,3.23,0.52,-1.51,12.36,6.75,-4.72,20.04,11.94,-2.51
2026-03-17,2026-03-17,MTSI,product,448G per lane modulator drivers for 1.6T/3.2T optical transceivers,-2.68,-1.77,-2.62,5.47,8.08,5.3,16.11,9.81,1.11,71.61,51.94,25.3
2026-02-06,2026-02-06,MTSI,earnings,Fiscal Q1 2026 results,3.47,0.57,-3.24,7.18,6.36,0.19,-3.98,-5.78,-7.47,33.26,18.95,-3.9
